row,source_url,source_path,release_state,status,final_url,redirect_count,robots,canonical,in_sitemap,exact_path_passed,metadata_passed,passed,error
54,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-arkansas/,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-arkansas/,staged_noindex,200,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-arkansas/,1,"noindex,follow",,False,True,True,True,
55,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-colorado/,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-colorado/,staged_noindex,200,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-colorado/,1,"noindex,follow",,False,True,True,True,
56,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-connecticut/,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-connecticut/,staged_noindex,200,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-connecticut/,1,"noindex,follow",,False,True,True,True,
57,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-delaware/,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-delaware/,staged_noindex,200,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-delaware/,1,"noindex,follow",,False,True,True,True,
58,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-district-of-columbia/,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-district-of-columbia/,staged_noindex,200,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-district-of-columbia/,1,"noindex,follow",,False,True,True,True,
59,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-florida/,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-florida/,staged_noindex,200,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-florida/,1,"noindex,follow",,False,True,True,True,
60,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-georgia/,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-georgia/,staged_noindex,200,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-georgia/,1,"noindex,follow",,False,True,True,True,
61,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-hawaii/,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-hawaii/,staged_noindex,200,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-hawaii/,1,"noindex,follow",,False,True,True,True,
62,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-idaho/,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-idaho/,staged_noindex,200,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-idaho/,1,"noindex,follow",,False,True,True,True,
63,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-illinois/,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-illinois/,staged_noindex,200,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-illinois/,1,"noindex,follow",,False,True,True,True,
64,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-indiana/,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-indiana/,staged_noindex,200,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-indiana/,1,"noindex,follow",,False,True,True,True,
65,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-iowa/,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-iowa/,staged_noindex,200,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-iowa/,1,"noindex,follow",,False,True,True,True,
66,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-kansas/,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-kansas/,staged_noindex,200,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-kansas/,1,"noindex,follow",,False,True,True,True,
67,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-kentucky/,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-kentucky/,staged_noindex,200,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-kentucky/,1,"noindex,follow",,False,True,True,True,
68,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-louisiana/,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-louisiana/,staged_noindex,200,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-louisiana/,1,"noindex,follow",,False,True,True,True,
